City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,hasaki,35.7333,140.8333,12.22,76,100,9.88,JP,1669838241
304,encheng,22.1839,112.3026,14.72,74,100,4.25,CN,1669838332
305,port hedland,-20.3167,118.5667,26.03,89,62,2.06,AU,1669838333
306,westport,41.1415,-73.3579,14.53,86,100,12.35,US,1669838247
307,kamina,-8.7386,24.9906,17.35,93,100,0.29,CD,1669838333
308,booue,-0.0921,11.9385,22.2,98,98,1.15,GA,1669838333
309,dubbo,-32.25,148.6167,15.07,77,75,3.6,AU,1669838334
310,ereymentau,51.6199,73.1033,-17.29,80,100,7.83,KZ,1669838334
311,kloulklubed,7.0419,134.2556,28.8,76,100,7.6,PW,1669838334
312,washington,47.5001,-120.5015,1.77,84,100,0.89,US,1669838187
313,nurota,40.5614,65.6886,0.49,78,79,2.0,UZ,1669838335
314,ponta delgada,37.7333,-25.6667,16.95,77,75,2.06,PT,1669838335
315,maralal,1.0968,36.698,14.92,84,98,3.24,KE,1669838336
316,san policarpo,12.1791,125.5072,27.39,82,100,7.55,PH,1669838336
317,tulum,20.2167,-87.4667,27.2,81,95,2.63,MX,1669838336
318,roald,62.5833,6.1333,6.85,87,75,5.14,NO,1669838512
319,guerrero negro,27.9769,-114.0611,18.83,58,5,5.27,MX,1669838512
320,hamilton,39.1834,-84.5333,4.8,52,0,7.72,US,1669837971
321,phan thiet,10.9333,108.1,23.88,85,97,3.1,VN,1669838337
322,atocha,-20.9333,-66.2333,13.06,24,80,0.95,BO,1669838337
323,hurghada,27.2574,33.8129,20.02,56,0,0.0,EG,1669838338
324,binucayan,8.25,125.7167,22.94,99,100,0.73,PH,1669838338
325,okha,53.5739,142.9478,-19.42,93,34,8.97,RU,1669838338
326,sal rei,16.1833,-22.9167,25.11,65,83,5.66,CV,1669838338
327,dunedin,-45.8742,170.5036,12.67,65,8,3.13,NZ,1669838471
328,borovskoy,53.8,64.15,-16.57,87,100,3.75,KZ,1669838339
329,berlevag,70.8578,29.0864,1.0,80,0,3.6,NO,1669838514
330,norrtalje,59.758,18.705,4.45,83,100,1.16,SE,1669838339
331,davila,18.4726,120.5763,26.46,85,45,10.26,PH,1669838340
332,saint-augustin,51.226,-58.6502,-12.52,89,99,2.41,CA,1669838340
333,loukhi,66.0764,33.0381,-3.61,97,100,1.77,RU,1669838340
334,serov,59.6033,60.5787,-12.11,96,100,1.25,RU,1669838341
335,vao,-22.6667,167.4833,25.22,85,97,3.08,NC,1669838515
336,general roca,-39.0333,-67.5833,29.23,13,10,1.91,AR,1669838515
337,broome,42.2506,-75.833,10.47,86,100,10.29,US,1669838515
338,san quintin,30.4833,-115.95,16.15,63,12,4.69,MX,1669838341
339,ust-maya,60.4167,134.5333,-32.36,99,100,0.38,RU,1669838327
340,hanna,51.6334,-111.9018,-15.64,85,100,7.15,CA,1669838342
341,duvan,55.695,57.9024,-15.45,99,84,0.73,RU,1669838343
342,ilovlya,49.3033,43.9796,-5.11,52,9,3.61,RU,1669838198
343,apatou,5.155,-54.3472,25.68,93,20,1.87,GF,1669838344
344,palaia fokaia,37.72,23.9463,14.86,87,100,4.42,GR,1669838345
345,namibe,-15.1961,12.1522,21.11,74,75,3.94,AO,1669838345
346,hobyo,5.3505,48.5268,26.53,75,10,5.74,SO,1669838517
347,bac lieu,9.285,105.7244,26.22,86,100,7.46,VN,1669838346
348,bulgan,48.8125,103.5347,-24.13,87,2,1.5,MN,1669838517
349,aswan,24.0934,32.907,21.61,30,0,2.06,EG,1669838318
350,ahuimanu,21.4447,-157.8378,27.66,75,40,1.54,US,1669838396
351,ust-kut,56.7938,105.7672,-18.72,96,100,4.74,RU,1669838347
352,montmagny,48.9734,2.3469,7.35,91,100,4.12,FR,1669838347
353,te anau,-45.4167,167.7167,7.73,86,86,1.14,NZ,1669838518
354,mitsamiouli,-11.3847,43.2844,25.88,75,1,2.81,KM,1669838348
355,smolenka,52.1352,113.4974,-20.59,65,96,4.0,RU,1669838348
356,lingao,19.9103,109.6859,21.95,88,100,9.33,CN,1669838349
357,nortelandia,-14.4547,-56.8028,22.72,79,99,2.93,BR,1669838349
358,ust-nera,64.5667,143.2,-28.5,98,100,4.23,RU,1669838633
359,mamlyutka,54.9375,68.5394,-16.18,81,100,4.65,KZ,1669838350
360,kharp,66.8014,65.8081,-19.53,98,18,1.22,RU,1669838350
361,vakhrushev,48.9833,142.9667,-13.19,75,39,7.2,RU,1669838351
362,hovd,48.0056,91.6419,-19.67,77,100,1.02,MN,1669838519
363,buraydah,26.326,43.975,22.25,55,48,5.11,SA,1669838314
364,edmundston,47.3737,-68.3251,0.85,83,100,7.2,CA,1669838352
365,shadrinsk,56.0852,63.6335,-16.03,91,93,1.97,RU,1669838352
366,neustrelitz,53.3667,13.0833,-0.1,88,76,2.45,DE,1669838352
367,aksarka,66.5606,67.7975,-22.4,99,7,1.41,RU,1669838353
368,saint george,37.1041,-113.5841,11.91,27,0,1.54,US,1669838414
369,kodinsk,58.6881,99.1844,-19.6,97,100,4.63,RU,1669838354
370,bongandanga,1.5,21.05,20.11,99,100,0.32,CD,1669838354
371,port hardy,50.6996,-127.4199,-1.9,93,75,1.54,CA,1669838345
372,saint-georges,12.0564,-61.7485,29.82,62,20,7.2,GD,1669838355
373,lahaina,20.8783,-156.6825,28.31,88,64,3.81,US,1669838355
374,flin flon,54.7682,-101.865,-20.32,77,24,2.99,CA,1669838521
375,kouroussa,10.65,-9.8833,26.72,29,43,1.12,GN,1669838356
376,wangqing,43.3218,129.7634,-13.99,67,100,5.23,CN,1669838358
377,khorramshahr,30.4397,48.1664,22.97,94,40,2.06,IR,1669838358
378,zaporizhzhya,47.8167,35.1833,0.12,42,67,6.5,UA,1669838359
379,oparino,59.8518,48.2783,-10.66,96,84,1.82,RU,1669838360
380,airai,-8.9266,125.4092,15.88,93,100,0.38,TL,1669838636
381,nuzvid,16.7833,80.85,21.84,81,0,1.01,IN,1669838361
382,kamiiso,41.8167,140.65,-3.64,88,100,7.02,JP,1669838361
383,vila velha,-20.3297,-40.2925,24.4,92,99,5.03,BR,1669838437
384,coihaique,-45.5752,-72.0662,14.97,38,20,5.66,CL,1669838362
385,tautira,-17.7333,-149.15,25.73,81,36,5.55,PF,1669838469
386,stephenville,32.2207,-98.2023,9.93,26,0,3.09,US,1669838320
387,talnakh,69.4865,88.3972,-19.01,99,100,2.12,RU,1669838526
388,chimbote,-9.0853,-78.5783,21.7,73,94,4.38,PE,1669838364
389,kaitangata,-46.2817,169.8464,11.68,57,11,3.93,NZ,1669838526
390,bo rai,12.5728,102.5371,23.57,95,98,0.55,TH,1669838364
391,mnogovershinnyy,53.9353,139.9242,-20.28,90,100,8.34,RU,1669838365
392,fukue,32.6881,128.8419,9.17,66,100,10.05,JP,1669838327
393,anadyr,64.75,177.4833,-5.72,100,0,1.0,RU,1669838365
394,chino valley,34.7575,-112.4538,13.76,43,99,0.89,US,1669838365
395,elizabeth city,36.2946,-76.2511,17.79,95,100,8.06,US,1669838366
396,mouila,-1.8685,11.0559,23.11,96,71,0.8,GA,1669838366
397,thinadhoo,0.5333,72.9333,26.95,67,26,2.41,MV,1669838317
398,bolzano,46.4927,11.3336,7.26,79,100,1.11,IT,1669838367
399,invermere,50.5167,-116.0354,-5.36,68,100,1.84,CA,1669838367
400,balabac,7.9868,117.0645,26.51,86,100,6.84,PH,1669838368
401,rockhampton,-23.3833,150.5,17.94,88,100,4.63,AU,1669838368
402,robertsport,6.7533,-11.3686,27.1,76,21,3.62,LR,1669838369
403,ngunguru,-35.6167,174.5,16.43,67,67,6.42,NZ,1669838369
404,kurmanayevka,52.5093,52.0675,-11.13,96,31,2.08,RU,1669838369
405,mason city,43.1536,-93.201,-6.85,73,50,7.78,US,1669838370
406,belaya gora,68.5333,146.4167,-25.94,99,100,0.28,RU,1669838639
407,alofi,-19.0595,-169.9187,26.94,83,40,3.09,NU,1669838315
408,la union,-5.4,-80.75,26.17,53,23,7.98,PE,1669838370
409,kijang,35.2442,129.2139,0.08,27,100,2.55,KR,1669838531
410,paptalaya,15.5,-84.3167,28.9,67,10,3.16,HN,1669838371
411,iskateley,67.6803,53.1512,-15.29,96,12,3.56,RU,1669838371
412,mahanoro,-19.9,48.8,23.44,87,96,2.98,MG,1669838371
413,zhoucheng,35.9122,116.3117,-6.45,19,1,0.71,CN,1669838371
414,princeton,25.5384,-80.4089,29.45,80,91,2.24,US,1669838372
415,pedernales,18.0384,-71.744,27.71,68,18,2.51,DO,1669838372
416,sukumo,32.9333,132.7333,7.74,69,100,4.81,JP,1669838373
417,itami,34.7843,135.4013,9.88,66,26,3.09,JP,1669838373
418,erenhot,43.6475,111.9767,-16.08,68,61,4.65,CN,1669838534
419,leua,48.2156,18.6071,5.83,67,100,1.5,SK,1669838373
420,hodasz,47.9183,22.2015,1.82,74,87,3.2,HU,1669838374
421,jinji,23.2281,110.8261,8.3,77,99,3.53,CN,1669838374
422,atar,20.5169,-13.0499,23.35,15,8,2.82,MR,1669838374
423,weymouth,42.2209,-70.9398,15.11,87,100,8.75,US,1669838375
424,foz,43.5692,-7.2544,9.4,92,49,3.1,ES,1669838375
